,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
254,male,group D,high school,standard,none,54,52,52
436,male,group D,associate's degree,standard,none,75,68,64
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
419,male,group E,high school,free/reduced,completed,57,56,54
463,female,group C,some college,free/reduced,none,77,90,91
420,female,group C,associate's degree,free/reduced,completed,82,93,93
487,female,group C,associate's degree,free/reduced,none,60,75,74
586,female,group A,high school,standard,none,55,73,73
285,male,group B,associate's degree,standard,completed,81,82,82
14,female,group A,master's degree,standard,none,50,53,58
642,female,group B,some high school,free/reduced,none,72,81,79
608,female,group E,some college,standard,none,61,64,62
595,female,group C,bachelor's degree,standard,completed,56,79,72
725,male,group E,some college,standard,completed,81,74,71
861,female,group E,master's degree,free/reduced,none,81,86,87
272,female,group D,associate's degree,free/reduced,none,47,53,58
343,male,group D,associate's degree,standard,completed,67,72,67
591,male,group A,some high school,standard,none,71,62,50
181,female,group C,some college,free/reduced,none,46,64,66
613,female,group C,associate's degree,standard,none,65,77,74
338,female,group B,some high school,free/reduced,none,24,38,27
391,female,group D,some college,standard,none,77,68,77
694,female,group C,some high school,standard,none,49,63,56
345,female,group C,high school,standard,none,72,80,75
400,female,group C,some high school,standard,completed,59,54,67
235,male,group D,associate's degree,standard,none,80,75,77
456,female,group D,bachelor's degree,standard,none,79,89,89
439,male,group D,some high school,standard,completed,89,88,82
61,male,group A,some high school,free/reduced,none,39,39,34
215,male,group B,some high school,standard,completed,84,83,75
308,female,group B,associate's degree,free/reduced,none,53,71,67
154,male,group D,some high school,standard,none,62,67,61
638,male,group E,some college,standard,none,86,76,74
763,female,group B,high school,standard,none,62,62,63
273,female,group D,some college,standard,none,65,70,71
434,male,group C,some high school,standard,none,73,66,66
194,female,group C,master's degree,standard,completed,69,84,85
709,female,group D,associate's degree,free/reduced,completed,42,61,58
360,female,group B,high school,standard,none,58,62,59
964,male,group D,some college,standard,none,72,57,58
157,male,group B,some college,free/reduced,none,60,60,60
